ID,Tool Name,Link,Awesome,Stars,Forks,Contributors,Used by,"Are Core architecture features supported? Core feature are: Agent definition, Orchestration platform/models, Memory/Knowledge, Tool usage","is the definition/usage of heterogeneous agents supported? (i.e., the system allows to define custom agent or using agent with different architecture, even different from LLMs, e.g. AI models, transformers)",Do the system allow the specification of roles and/or behaviour for each single agents?,"Do the system allow the usage of external tool, e.g., external services, API, custom user functions?","Do the system provide remote access to the models, i.e. user can interact using provided API/Interface?","Do the system provide specific features/metrics/capabilities to evaluate qualitative aspects of agents? (Examples: energy consumption, best accuracy for a given task, hallucination)","Do the system allow human-in-the-loop integration? (Examples:dedicated functions, methods)","Do the system allow the comparison of agents? (e.g. run-time, comparison of answers/generated content)","Do the sytem allows the usage of notable datasets/benchmark for evaluating agents (e.g. CodeXGlue, HumanEval)?","Do the system provide discovery capabilities for selecting AI agents (es. selecting agets for a specific task, hardware requirements)?",License,"Notes:some comments on the platform e.g., usability, issues in running"
1,AutoGPT,Github Page,Yes,"178,575","45,971",781,1,Provided,Provided,Provided,Provided,Provided,Not Provided,Not Provided,Not Provided,Not Provided,Provided,MIT ,"The documentation is somewhat confusing, and I still don't understand how it accommodates multiple agents simultaneously."
2,LangChain/Langgraph,"Langchain.com, https://github.com/langchain-ai/langchain",Yes,"115,778","19,018","3,784","270,534",Provided,Provided,Provided,Provided,Provided,Partially provided,Provided,Provided,Partially provided,Provided,MIT ,"This evaluation evaluates Langchain, Langgraph and Langsmith as a single entity."
3,Dify,Github Page,Yes,"114,434","17,583",993,0,Provided,Provided,Provided,Provided,Provided,Not Provided,Provided,Provided,Provided,Provided,Apache 2.0,"It seems easy to use because its configuration is done through the dashboard. It is a good tool for those without coding experience. Additionally, it is well documented"
4,MetaGPT,"Github Page
deepwisdom.ai",Yes,"58,477","7,067",113,118,Partially provided,Provided,Provided,Provided,Not Provided,Not Provided,Partially provided,Not Provided,Not Provided,Not Provided,MIT ,
5,AutoGen,Github Page,Yes,"49,951","7,640",558,"3,822",Provided,Provided,Provided,Partially provided,Partially provided,Not Provided,Provided,Not Provided,Provided,Not Provided,"CC-BY-4.0, MIT","The tool functions similar to an event driven architecture. It has several remarkable capabilities. However it's use is limited to selected public LLM models. Although it supports Ollama, this would require a local hosting of the model. The Ollama feature is also in experimental stage. The final option for users is to use a model hosted on Azure, thus limiting users to a specific cloud provider. 
Note: Comments are based on documentations."
6,Llama Index,https://github.com/run-llama/llama_index,Yes,"44,333","6,380","1,679","22,801",Provided,Provided,Provided,Provided,Provided,Partially provided,Provided,Provided,Not Provided,Not Provided,MIT ,
7,Flowise,Github Page,Yes,"43,786","22,367",256,0,Provided,Provided,Provided,Provided,Provided,Provided,Not Provided,Partially provided,Not Provided,Provided,Apache 2.0,Apa
8,CrewAi,"crewai.com 
Github Page",Yes,"38,270","5,065",273,"17,032",Provided,Provided,Provided,Provided,Provided,Not Provided,Provided,Not Provided,Not Provided,Not Provided,MIT ,Quite complete platform
9,Semantic Kernel,Github Page,Yes,"26,213","4,230",411,"2,177",Provided,Provided,Provided,Provided,Provided,Not Provided,Provided,Not Provided,Not Provided,Not Provided,MIT ,"The SDK is extensive and well-documented; however, the agent framework aspect of the tool appears to be new and still under development."
10,Agno,Agno.com  https://github.com/agno-agi/agno,No,"33,608","4,279",297,0,Provided,Not Provided,Provided,Provided,Provided,Not Provided,Not Provided,Not Provided,Not Provided,Provided,MPL 2.0,
11,Haystack,https://github.com/deepset-ai/haystack,Yes,"22,673","2,385",309,"1,181",Provided,Provided,Provided,Provided,Provided,Provided,Not Provided,Provided,Partially provided,Not Provided,Apache 2.0,Very good tool with evaluation capabilities
12,OpenAI SDK,Github Page,No,"20,421","2,188",15,0,Partially provided,Provided,Provided,Provided,Provided,Not Provided,Not Provided,Partially provided,Not Provided,Provided,MIT ,"Swarm has been replaced by open AI SDK therefore this review is on OpenAI SDK
Guardrails: This is a special function that can be used to guide the input and output validation"
13,Smolagents,https://github.com/huggingface/smolagents,,"22,903","2,004",183,0,Provided,Provided,Provided,Provided,Provided,Provided,Not Provided,Partially provided,Not Provided,Not Provided,Apache 2.0,
