Included (Y/N),Type,Title,Rationale
Y,White,"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision and the Road Ahead","Included because it is a systematic literature review focused on LLM-based multi-agent systems in software engineering and provides foundational concepts, challenges, and future directions."
Y,White,Large Language Model Based Multi-agents: A Survey of Progress and Challenges,"Included because it is a survey specifically focused on LLM-based multi-agent systems, covering architecture, communication, datasets, benchmarks, and open challenges."
N,White,Generation of Scientific Literature Surveys Based on Large Language Models (LLM) and Multi-Agent Systems (MAS),Excluded because it proposes/evaluates a specific literature-review generation method rather than providing a systematic study of MAS foundational concepts.
N,White,Collective predictive coding hypothesis: symbol emergence as decentralized Bayesian inference,"Excluded because it focuses on symbol emergence and decentralized Bayesian inference, not on LLM-based MAS frameworks or foundational software-engineering concepts."
N,White,A Taxonomy for Autonomous LLM-Powered Multi-Agent Architectures,Excluded because it proposes a taxonomy but does not provide a systematic or comprehensive literature review aligned with the study criteria.
N,White,"A survey on LLM-based multi-agent systems: workflow, infrastructure, and challenges",Excluded because the venue does not satisfy the selected venue-quality criteria.
Y,Gray,The Tyranny of Possibilities in the Design of Task-Oriented LLM Systems: A Scoping Survey,"Included because it is a scoping survey on task-oriented LLM systems, including multi-agent configurations and design parameters relevant to MAS functionalities."
Y,Gray,The Rise and Potential of Large Language Model Based Agents: A Survey,"Included because it provides a comprehensive survey of LLM-based agents, including multi-agent scenarios, agent societies, and foundational agent components."
N,White,"Multi-Agent, Human-Agent and Beyond: A Survey on Cooperation in Social Dilemmas","Excluded because it focuses mainly on cooperation in social dilemmas and general AI cooperation, not specifically on LLM-based MAS foundational concepts."
Y,Gray,LLM-based Multi-Agent Reinforcement Learning: Current and Future Directions,"Included because it surveys LLM-based single-agent and multi-agent reinforcement learning frameworks, with emphasis on coordination, communication, and human-in-the-loop scenarios."
N,Gray,GUI Agents with Foundation Models: A Comprehensive Survey,Excluded because it focuses on GUI agents and interface automation rather than general LLM-based MAS frameworks or foundational MAS concepts.
Y,Gray,"Exploring Large Language Model based Intelligent Agents: Definitions, Methods, and Prospects","Included because it surveys LLM-based intelligent agents, including multi-agent systems, role collaboration, message passing, tools, planning, and feedback mechanisms."
