ROUGE-1,ROUGE-2,ROUGE-L,Tool
1.0,1.0,1.0,Metagente
0.8421052632,0.8235294118,0.8421052632,Metagente
1.0,0.9117647059,0.9714285714,Metagente
0.3636363636,0.3,0.3636363636,Metagente
0.4210526316,0.2352941176,0.4210526316,Metagente
0.5714285714,0.1666666667,0.4285714286,Metagente
0.2222222222,0.08,0.1481481481,Metagente
0.4347826087,0.2857142857,0.4347826087,Metagente
0.6229508197,0.3728813559,0.5573770492,Metagente
1.0,1.0,1.0,Metagente
0.0,0.0,0.0,Metagente
0.375,0.2857142857,0.375,Metagente
0.3125,0.1333333333,0.1875,Metagente
0.7058823529,0.5333333333,0.7058823529,Metagente
0.9411764706,0.9375,0.9411764706,Metagente
0.3921568627,0.2857142857,0.3921568627,Metagente
0.7777777778,0.5882352941,0.7222222222,Metagente
0.275862069,0.0,0.2068965517,Metagente
0.3,0.1111111111,0.2,Metagente
0.7692307692,0.5454545455,0.7692307692,Metagente
0.4615384615,0.1666666667,0.3846153846,Metagente
0.303030303,0.06451612903,0.2424242424,Metagente
0.9,0.8888888889,0.9,Metagente
0.4761904762,0.3157894737,0.4761904762,Metagente
0.7,0.5555555556,0.6,Metagente
0.5,0.3333333333,0.5,Metagente
0.1666666667,0.09090909091,0.1666666667,Metagente
0.2608695652,0.0,0.1739130435,Metagente
0.6086956522,0.1904761905,0.4347826087,Metagente
0.48,0.08695652174,0.32,Metagente
0.3783783784,0.1142857143,0.3783783784,Metagente
0.5,0.4615384615,0.5,Metagente
0.5714285714,0.2424242424,0.4571428571,Metagente
0.2909090909,0.07547169811,0.2545454545,Metagente
0.4444444444,0.375,0.4444444444,Metagente
0.6666666667,0.5,0.6666666667,Metagente
0.6808510638,0.6222222222,0.6808510638,Metagente
0.5454545455,0.4444444444,0.5454545455,Metagente
0.6153846154,0.5,0.6153846154,Metagente
0.4347826087,0.09523809524,0.347826087,Metagente
0.4,0.2222222222,0.4,Metagente
0.5,0.2222222222,0.4,Metagente
0.2352941176,0.0,0.2352941176,Metagente
0.2790697674,0.0487804878,0.1860465116,Metagente
0.4285714286,0.2307692308,0.3571428571,Metagente
0.3265306122,0.170212766,0.2857142857,Metagente
0.2666666667,0.1034482759,0.2333333333,Metagente
1.0,1.0,1.0,Metagente
0.25,0.0,0.1666666667,Metagente
0.6666666667,0.6153846154,0.6666666667,Metagente
0.2580645161,0.06896551724,0.2580645161,Metagente
0.2580645161,0.06896551724,0.2580645161,Metagente
0.8571428571,0.6666666667,0.8571428571,Metagente
0.9230769231,0.8333333333,0.9230769231,Metagente
0.4615384615,0.3333333333,0.4615384615,Metagente
0.5263157895,0.2352941176,0.4210526316,Metagente
0.9230769231,0.9090909091,0.9230769231,Metagente
0.2857142857,0.1538461538,0.2857142857,Metagente
0.5714285714,0.2,0.4761904762,Metagente
0.24,0.08695652174,0.24,Metagente
0.1428571429,0.0,0.1428571429,Metagente
0.75,0.7142857143,0.75,Metagente
0.2222222222,0.05882352941,0.1666666667,Metagente
0.09523809524,0.0,0.09523809524,Metagente
0.2222222222,0.0,0.2222222222,Metagente
0.4827586207,0.2222222222,0.4827586207,Metagente
0.5,0.2222222222,0.4,Metagente
0.4347826087,0.2857142857,0.4347826087,Metagente
0.6428571429,0.4615384615,0.5714285714,Metagente
0.25,0.2,0.25,Metagente
0.3,0.2222222222,0.3,Metagente
0.2051282051,0.05405405405,0.1538461538,Metagente
0.2608695652,0.0,0.2608695652,Metagente
0.6666666667,0.2727272727,0.5,Metagente
1.0,1.0,1.0,Metagente
1.0,1.0,1.0,Metagente
0.125,0.04347826087,0.125,Metagente
0.2307692308,0.08333333333,0.2307692308,Metagente
0.8421052632,0.8363636364,0.8421052632,Metagente
0.3225806452,0.2068965517,0.3225806452,Metagente
0.1666666667,0.0,0.1666666667,Metagente
0.1052631579,0.0,0.1052631579,Metagente
0.25,0.0,0.25,Metagente
0.2372881356,0.0701754386,0.1694915254,Metagente
1.0,1.0,1.0,Metagente
0.4680851064,0.4444444444,0.4680851064,Metagente
0.5833333333,0.2727272727,0.5,Metagente
0.8333333333,0.7272727273,0.8333333333,Metagente
1.0,1.0,1.0,Metagente
0.9333333333,0.4615384615,0.8,Metagente
0.2666666667,0.0,0.2666666667,Metagente
0.5,0.2857142857,0.5,Metagente
1.0,1.0,1.0,Metagente
0.2068965517,0.07407407407,0.2068965517,Metagente
0.275862069,0.1071428571,0.275862069,Metagente
0.2105263158,0.0,0.2105263158,Metagente
0.25,0.0,0.125,Metagente
0.0,0.0,0.0,Metagente
0.6363636364,0.3,0.5454545455,Metagente
0.380952381,0.1052631579,0.380952381,Metagente
0.75,0.4545454545,0.6666666667,Metagente
0.4545454545,0.2380952381,0.4545454545,Metagente
0.2790697674,0.09756097561,0.2325581395,Metagente
0.3076923077,0.25,0.3076923077,Metagente
0.1,0.0,0.1,Metagente
0.4390243902,0.1538461538,0.2926829268,Metagente
0.375,0.1428571429,0.25,Metagente
0.9523809524,0.8421052632,0.9523809524,Metagente
0.4210526316,0.3333333333,0.4210526316,Metagente
1.0,1.0,1.0,Metagente
0.5454545455,0.5,0.5454545455,Metagente
0.4210526316,0.1176470588,0.3157894737,Metagente
0.1304347826,0.04545454545,0.1304347826,Metagente
0.5384615385,0.3333333333,0.5384615385,Metagente
0.3076923077,0.0,0.2307692308,Metagente
0.7777777778,0.25,0.6666666667,Metagente
1.0,1.0,1.0,Metagente
0.25,0.0,0.25,Metagente
0.4347826087,0.380952381,0.4347826087,Metagente
0.4444444444,0.24,0.3703703704,Metagente
0.2307692308,0.0,0.2307692308,Metagente
0.6666666667,0.4117647059,0.6666666667,Metagente
0.7142857143,0.6666666667,0.7142857143,Metagente
0.4210526316,0.1666666667,0.2631578947,Metagente
0.1111111111,0.0,0.1111111111,Metagente
1.0,1.0,1.0,Metagente
0.375,0.0,0.25,Metagente
1.0,1.0,1.0,Metagente
0.1818181818,0.0,0.1818181818,Metagente
0.7692307692,0.7272727273,0.7692307692,Metagente
0.4705882353,0.2666666667,0.4705882353,Metagente
0.7272727273,0.6666666667,0.7272727273,Metagente
1.0,1.0,1.0,Metagente
0.7586206897,0.7407407407,0.7586206897,Metagente
0.7692307692,0.7272727273,0.7692307692,Metagente
0.2666666667,0.07142857143,0.2666666667,Metagente
0.5454545455,0.4516129032,0.5454545455,Metagente
0.5925925926,0.56,0.5925925926,Metagente
1.0,1.0,1.0,Metagente
0.380952381,0.3157894737,0.380952381,Metagente
0.0,0.0,0.0,Metagente
0.347826087,0.2857142857,0.347826087,Metagente
0.625,0.2857142857,0.25,Metagente
0.5925925926,0.32,0.5925925926,Metagente
0.6153846154,0.3333333333,0.3846153846,Metagente
0.5294117647,0.375,0.3529411765,Metagente
0.4444444444,0.32,0.4444444444,Metagente
0.2916666667,0.08695652174,0.2916666667,Metagente
0.2325581395,0.0487804878,0.1860465116,Metagente
1.0,1.0,1.0,Metagente
0.2857142857,0.1666666667,0.2857142857,Metagente
1.0,1.0,1.0,Metagente
0.24,0.0,0.16,Metagente
0.2608695652,0.1904761905,0.2608695652,Metagente
