Score,System
0.9230769231,GitSum
0.875,GitSum
0,GitSum
0,GitSum
0.1428571429,GitSum
0.1428571429,GitSum
0.08695652174,GitSum
0.6666666667,GitSum
0.3728813559,GitSum
0.8571428571,GitSum
0,GitSum
0,GitSum
0.16,GitSum
0.5333333333,GitSum
0.6666666667,GitSum
0.3783783784,GitSum
0,GitSum
0,GitSum
0,GitSum
0.5454545455,GitSum
0,GitSum
0,GitSum
0.25,GitSum
0.2,GitSum
0.5,GitSum
0.1111111111,GitSum
1,GitSum
0,GitSum
0.8571428571,GitSum
0,GitSum
0.125,GitSum
0.2222222222,GitSum
0.7058823529,GitSum
0,GitSum
0.2727272727,GitSum
0.1052631579,GitSum
0.375,GitSum
0.5,GitSum
0.2142857143,GitSum
0.4444444444,GitSum
0.3636363636,GitSum
0.125,GitSum
0.1333333333,GitSum
0.2666666667,GitSum
0,GitSum
0,GitSum
0,GitSum
0.16,GitSum
0.1739130435,GitSum
0.05128205128,GitSum
1,GitSum
0,GitSum
0.6666666667,GitSum
0,GitSum
0,GitSum
0.6666666667,GitSum
0.8695652174,GitSum
0,GitSum
0.3076923077,GitSum
0.8333333333,GitSum
0.1176470588,GitSum
0.08,GitSum
0,GitSum
0,GitSum
0,GitSum
0.3636363636,GitSum
1,GitSum
0,GitSum
0.5263157895,GitSum
0.5,GitSum
0,GitSum
0.5714285714,GitSum
0.2222222222,GitSum
0.2222222222,GitSum
0,GitSum
0,GitSum
0,GitSum
0.3333333333,GitSum
1,GitSum
0,GitSum
0,GitSum
0.1,GitSum
0.1290322581,GitSum
0,GitSum
0,GitSum
0,GitSum
0,GitSum
0,GitSum
1,GitSum
0,GitSum
0.4705882353,GitSum
0.4285714286,GitSum
1,GitSum
0,GitSum
0,GitSum
0,GitSum
0.2222222222,GitSum
0.1379310345,GitSum
0.5555555556,GitSum
0,GitSum
0.2222222222,GitSum
0,GitSum
0.2857142857,GitSum
0,GitSum
0.3,GitSum
0.2608695652,GitSum
0.1081081081,GitSum
0,GitSum
0,GitSum
0,GitSum
0,GitSum
0,GitSum
0,GitSum
0.5882352941,GitSum
0.5714285714,GitSum
0,GitSum
0.1176470588,GitSum
0.125,GitSum
0.125,GitSum
0.375,GitSum
0,GitSum
0.1538461538,GitSum
1,GitSum
0,GitSum
0.380952381,GitSum
0.5,GitSum
0,GitSum
0.2580645161,GitSum
0.3333333333,GitSum
0.2857142857,GitSum
0.05263157895,GitSum
0,GitSum
0,GitSum
0.8333333333,GitSum
0,GitSum
1,GitSum
0,GitSum
0.8333333333,GitSum
0.2,GitSum
0,GitSum
1,GitSum
0,GitSum
0.8888888889,GitSum
0.1111111111,GitSum
0,GitSum
0.1904761905,GitSum
0.7692307692,GitSum
0.3157894737,GitSum
0.2,GitSum
0.25,GitSum
0.4,GitSum
0.3529411765,GitSum
0,GitSum
0,GitSum
0.25,GitSum
0,GitSum
0.08695652174,GitSum
0.6153846154,GitSum
0.2,GitSum
0.3076923077,GitSum
0,GitSum
0,GitSum
0,GitSum
0.4615384615,GitSum
0,GitSum
0.4444444444,GitSum
0,GitSum
0,GitSum
1,GitSum
0,GitSum
0.1052631579,GitSum
0,GitSum
0.8,GitSum
0.8333333333,GitSum
1,GitSum
0,GitSum
0,GitSum
0.1333333333,GitSum
0.1,GitSum
0.5,GitSum
0.1666666667,GitSum
0,GitSum
0.5,GitSum
0,GitSum
0.3125,GitSum
0.0198019802,GitSum
0.8888888889,GitSum
0,GitSum
0,GitSum
0.2352941176,GitSum
0,GitSum
0.5714285714,GitSum
0,GitSum
0.09090909091,GitSum
0,GitSum
0,GitSum
0,GitSum
0,GitSum
0,GitSum
0,GitSum
1,GitSum
0.1428571429,GitSum
1,GitSum
0.2,GitSum
0,GitSum
0.6666666667,GitSum
0.1428571429,GitSum
0.08695652174,GitSum
0.3,GitSum
0.2,GitSum
0.1052631579,GitSum
0.25,GitSum
0,GitSum
0.6666666667,GitSum
0,GitSum
0.2857142857,GitSum
0,GitSum
0.1538461538,GitSum
0.1,GitSum
0.2857142857,GitSum
0.1818181818,GitSum
0,GitSum
0.3076923077,GitSum
0.6666666667,GitSum
0.6666666667,GitSum
0.8235294118,GitSum
0.5714285714,GitSum
0.4347826087,GitSum
0.4761904762,GitSum
0.1739130435,GitSum
0,GitSum
0.3,GitSum
0.24,GitSum
0.8571428571,GitSum
0.1666666667,GitSum
0,GitSum
0,GitSum
0.125,GitSum
0.7777777778,GitSum
0.1666666667,GitSum
0,GitSum
0,GitSum
0.5185185185,GitSum
0.25,GitSum
0.5454545455,GitSum
0.6,GitSum
0.06896551724,GitSum
0,GitSum
0.2222222222,GitSum
0,GitSum
0.1,GitSum
0,GitSum
0,GitSum
0.1333333333,GitSum
0.1818181818,GitSum
1,GitSum
0.6666666667,GitSum
0.275862069,GitSum
0,GitSum
0,GitSum
0.5454545455,GitSum
0,GitSum
0.1904761905,GitSum
0.7058823529,GitSum
0.25,GitSum
0,GitSum
0.03703703704,GitSum
0.1333333333,GitSum
0.4,GitSum
0,GitSum
0.1052631579,GitSum
0.7272727273,GitSum
0.5263157895,GitSum
0.9333333333,GitSum
0.3333333333,GitSum
0,GitSum
0.8,GitSum
1,GitSum
0.7692307692,GitSum
0.6,GitSum
0,GitSum
0,GitSum
0.275862069,GitSum
1,GitSum
0.04545454545,GitSum
0.6315789474,GitSum
0.6153846154,GitSum
0.08,GitSum
0,GitSum
0.08,GitSum
0.4,GitSum
0,GitSum
0.2857142857,GitSum
0.1052631579,GitSum
0.6666666667,GitSum
0.2,GitSum
0,GitSum
0.5,GitSum
0,GitSum
1,GitSum
0.2105263158,GitSum
0.4375,GitSum
0.4,GitSum
0,GitSum
0,GitSum
1,GitSum
0,GitSum
0,GitSum
0,GitSum
0.8421052632,GitSum
0.3636363636,GitSum
0.2352941176,GitSum
0,GitSum
0,GitSum
0,GitSum
0,GitSum
0.1111111111,GitSum
0.2666666667,GitSum
0,GitSum
0.9090909091,GitSum
0.25,GitSum
0.8,GitSum
0,GitSum
0.3,GitSum
0,GitSum
0,GitSum
0.9230769231,GitSum
0.5555555556,GitSum
0.6666666667,GitSum
0,GitSum
0.1052631579,GitSum
0,GitSum
1,GitSum
1,GitSum
0.1212121212,GitSum
0.5714285714,GitSum
0.3333333333,GitSum
0.1176470588,GitSum
0,GitSum
0,GitSum
0,GitSum
0,GitSum
0.2666666667,GitSum
0,GitSum
0.7058823529,GitSum
0.6315789474,GitSum
0,GitSum
0.72,GitSum
0.1538461538,GitSum
