metric,tool_1,tool_2,rank_biserial,magnitude,direction,n_pairs
ROUGE-1,autogen,autogpt,0.25775712260483835,small,autogen > autogpt,865
ROUGE-1,autogen,dify,-0.17623090313232392,small,dify > autogen,865
ROUGE-1,autogen,semantic_kernel,0.039300912357392415,negligible,autogen > semantic_kernel,865
ROUGE-1,autogen,semantic_kernel_chat,0.09558102661550938,negligible,autogen > semantic_kernel_chat,865
ROUGE-1,autogpt,dify,-0.318391060622935,medium,dify > autogpt,865
ROUGE-1,autogpt,semantic_kernel,-0.1722772166294124,small,semantic_kernel > autogpt,865
ROUGE-1,autogpt,semantic_kernel_chat,-0.19005683592530134,small,semantic_kernel_chat > autogpt,865
ROUGE-1,dify,semantic_kernel,0.17183542137331417,small,dify > semantic_kernel,865
ROUGE-1,dify,semantic_kernel_chat,0.20933241331723304,small,dify > semantic_kernel_chat,865
ROUGE-1,semantic_kernel,semantic_kernel_chat,0.022775584573337383,negligible,semantic_kernel > semantic_kernel_chat,865
ROUGE-2,autogen,autogpt,0.313101895999244,medium,autogen > autogpt,865
ROUGE-2,autogen,dify,-0.24567686902792776,small,dify > autogen,865
ROUGE-2,autogen,semantic_kernel,-0.10839598997493734,small,semantic_kernel > autogen,865
ROUGE-2,autogen,semantic_kernel_chat,0.07230724700604219,negligible,autogen > semantic_kernel_chat,865
ROUGE-2,autogpt,dify,-0.4218230827739895,medium,dify > autogpt,865
ROUGE-2,autogpt,semantic_kernel,-0.34749573964005154,medium,semantic_kernel > autogpt,865
ROUGE-2,autogpt,semantic_kernel_chat,-0.27172839187993436,small,semantic_kernel_chat > autogpt,865
ROUGE-2,dify,semantic_kernel,0.12176870748299319,small,dify > semantic_kernel,865
ROUGE-2,dify,semantic_kernel_chat,0.256103961539269,small,dify > semantic_kernel_chat,865
ROUGE-2,semantic_kernel,semantic_kernel_chat,0.17738845681539092,small,semantic_kernel > semantic_kernel_chat,865
ROUGE-L,autogen,autogpt,0.281884834470701,small,autogen > autogpt,865
ROUGE-L,autogen,dify,-0.1774050510892616,small,dify > autogen,865
ROUGE-L,autogen,semantic_kernel,-0.01535669412257434,negligible,semantic_kernel > autogen,865
ROUGE-L,autogen,semantic_kernel_chat,0.08622392445921857,negligible,autogen > semantic_kernel_chat,865
ROUGE-L,autogpt,dify,-0.36468149875319794,medium,dify > autogpt,865
ROUGE-L,autogpt,semantic_kernel,-0.27086522462562396,small,semantic_kernel > autogpt,865
ROUGE-L,autogpt,semantic_kernel_chat,-0.23510730385709308,small,semantic_kernel_chat > autogpt,865
ROUGE-L,dify,semantic_kernel,0.1385088989011437,small,dify > semantic_kernel,865
ROUGE-L,dify,semantic_kernel_chat,0.20606633429773233,small,dify > semantic_kernel_chat,865
ROUGE-L,semantic_kernel,semantic_kernel_chat,0.08464500577101826,negligible,semantic_kernel > semantic_kernel_chat,865
