Score,System
0.5,GitSum
0.8421052632,GitSum
0.5,GitSum
0.1025641026,GitSum
0.08888888889,GitSum
0.5882352941,GitSum
0.1395348837,GitSum
0.8,GitSum
0.5396825397,GitSum
0.2909090909,GitSum
0.1081081081,GitSum
0.1363636364,GitSum
0.1818181818,GitSum
0.3636363636,GitSum
0.9411764706,GitSum
0.4255319149,GitSum
0.5,GitSum
0.275862069,GitSum
0.1578947368,GitSum
0.7692307692,GitSum
0.4827586207,GitSum
0.303030303,GitSum
0.9,GitSum
0.3157894737,GitSum
0.4285714286,GitSum
0.3076923077,GitSum
0.8888888889,GitSum
0.1333333333,GitSum
0.3265306122,GitSum
0.48,GitSum
0.2142857143,GitSum
0.2631578947,GitSum
0.4242424242,GitSum
0,GitSum
0.5128205128,GitSum
0.1951219512,GitSum
0.2127659574,GitSum
0.4444444444,GitSum
0.6086956522,GitSum
0,GitSum
0.4126984127,GitSum
0.1739130435,GitSum
0.4,GitSum
0.1923076923,GitSum
0.1904761905,GitSum
0.2272727273,GitSum
0.2272727273,GitSum
0.6181818182,GitSum
0.3111111111,GitSum
0.2333333333,GitSum
0.7368421053,GitSum
0.24,GitSum
0.1724137931,GitSum
0.2105263158,GitSum
0.2285714286,GitSum
0.1081081081,GitSum
0.96,GitSum
0,GitSum
0.4,GitSum
0.05555555556,GitSum
0.1428571429,GitSum
0.3921568627,GitSum
0.24,GitSum
0.04761904762,GitSum
0.5555555556,GitSum
0.380952381,GitSum
1,GitSum
0.1621621622,GitSum
0.2461538462,GitSum
0.8,GitSum
0.1960784314,GitSum
0.6923076923,GitSum
0.32,GitSum
0.3448275862,GitSum
0.1538461538,GitSum
0.2608695652,GitSum
0.2745098039,GitSum
1,GitSum
1,GitSum
0.2105263158,GitSum
0,GitSum
0.5,GitSum
0.8,GitSum
0.2553191489,GitSum
0.09090909091,GitSum
0.2857142857,GitSum
0.07142857143,GitSum
0.08333333333,GitSum
0.5333333333,GitSum
0.2127659574,GitSum
0.6,GitSum
0.4615384615,GitSum
1,GitSum
0,GitSum
0.1142857143,GitSum
0.25,GitSum
0.2,GitSum
0.2702702703,GitSum
0.2461538462,GitSum
0.2173913043,GitSum
0.09090909091,GitSum
0.1875,GitSum
0.4210526316,GitSum
0.2105263158,GitSum
0.1627906977,GitSum
0.4186046512,GitSum
0.3703703704,GitSum
0,GitSum
0,GitSum
0.1333333333,GitSum
0.4347826087,GitSum
0.375,GitSum
0.3846153846,GitSum
0.3684210526,GitSum
0.5555555556,GitSum
0.125,GitSum
0.1621621622,GitSum
0.4444444444,GitSum
0.08695652174,GitSum
0.56,GitSum
0.32,GitSum
0.3333333333,GitSum
1,GitSum
0.3636363636,GitSum
0.4347826087,GitSum
0.1555555556,GitSum
0.16,GitSum
0.5142857143,GitSum
0.2857142857,GitSum
0.5333333333,GitSum
0.170212766,GitSum
0.1111111111,GitSum
0.1111111111,GitSum
0.1428571429,GitSum
0.25,GitSum
1,GitSum
0.1818181818,GitSum
0.07407407407,GitSum
0.6956521739,GitSum
0.1095890411,GitSum
1,GitSum
0.03921568627,GitSum
0,GitSum
0.125,GitSum
0.4,GitSum
0.8085106383,GitSum
0.8421052632,GitSum
0.2352941176,GitSum
0.2222222222,GitSum
0.2380952381,GitSum
0.6666666667,GitSum
0.4545454545,GitSum
0.09638554217,GitSum
0.5142857143,GitSum
0.32,GitSum
0.1194029851,GitSum
0.1333333333,GitSum
0.8181818182,GitSum
0.2857142857,GitSum
0.2,GitSum
0.2222222222,GitSum
0.06557377049,GitSum
0,GitSum
0.3913043478,GitSum
0.2857142857,GitSum
0.09375,GitSum
0.2,GitSum
0.07407407407,GitSum
0.1739130435,GitSum
0.09090909091,GitSum
0.243902439,GitSum
0.32,GitSum
0.4615384615,GitSum
0.5161290323,GitSum
1,GitSum
0.1568627451,GitSum
0.3225806452,GitSum
0.3125,GitSum
0.25,GitSum
0.5882352941,GitSum
0.09302325581,GitSum
0.2727272727,GitSum
0.4285714286,GitSum
0.2,GitSum
0.3902439024,GitSum
0.265625,GitSum
0.8333333333,GitSum
0.3076923077,GitSum
0,GitSum
0.4705882353,GitSum
1,GitSum
0.5,GitSum
0.9333333333,GitSum
0.1,GitSum
0.9206349206,GitSum
0.1666666667,GitSum
0.06896551724,GitSum
0.9142857143,GitSum
0.3636363636,GitSum
0.3,GitSum
0.4210526316,GitSum
0.12,GitSum
0.4827586207,GitSum
0.4285714286,GitSum
0.1818181818,GitSum
0.4651162791,GitSum
0.3333333333,GitSum
0.2777777778,GitSum
0.5,GitSum
0.25,GitSum
0.3636363636,GitSum
0.275862069,GitSum
0.09090909091,GitSum
0.3333333333,GitSum
0.2173913043,GitSum
0.5161290323,GitSum
0.125,GitSum
0.25,GitSum
0.3783783784,GitSum
0.2380952381,GitSum
0,GitSum
0.04761904762,GitSum
0.2105263158,GitSum
1,GitSum
0.4905660377,GitSum
0.6923076923,GitSum
0.5714285714,GitSum
0.4,GitSum
0.5,GitSum
0.2857142857,GitSum
0.3673469388,GitSum
0,GitSum
0.5925925926,GitSum
0.875,GitSum
0.2307692308,GitSum
0.1428571429,GitSum
0.2,GitSum
0.1176470588,GitSum
1,GitSum
0.2553191489,GitSum
0.2666666667,GitSum
0.2564102564,GitSum
0.9142857143,GitSum
0.08695652174,GitSum
0.4848484848,GitSum
0.6206896552,GitSum
0.1538461538,GitSum
0.08,GitSum
0.2173913043,GitSum
0.75,GitSum
0.1568627451,GitSum
0,GitSum
0,GitSum
0.4,GitSum
0.3076923077,GitSum
0.1538461538,GitSum
1,GitSum
0.4285714286,GitSum
0.1538461538,GitSum
0.2909090909,GitSum
0.3333333333,GitSum
0.04347826087,GitSum
0.5714285714,GitSum
0.7368421053,GitSum
0.4615384615,GitSum
0.28125,GitSum
0.1428571429,GitSum
0.1176470588,GitSum
0.1951219512,GitSum
0.1,GitSum
0.3636363636,GitSum
1,GitSum
0.3076923077,GitSum
0.3636363636,GitSum
0.2564102564,GitSum
0.1785714286,GitSum
0.5833333333,GitSum
0.1621621622,GitSum
0.303030303,GitSum
0.7272727273,GitSum
0.3157894737,GitSum
0.1363636364,GitSum
0.5,GitSum
0.1369863014,GitSum
0.1785714286,GitSum
1,GitSum
0.3125,GitSum
0.5416666667,GitSum
0.1875,GitSum
